Time(in seconds),Queue Density,Dynamic Density,
1199,0.580652,0,
1200,0.579711,0,
1201,0.580632,0,
1202,0.581259,0,
1203,0.583175,0,
1204,0.583904,0,
1205,0.584727,0,
1206,0.584919,0,
1207,0.585621,0,
1208,0.586651,0,
1209,0.587302,0,
1210,0.589606,0,
1211,0.590605,0,
1212,0.591499,0,
1213,0.590876,0,
1214,0.590703,0,
1215,0.58874,0,
1216,0.589269,0,
1217,0.588505,0,
1218,0.587799,0,
1219,0.588176,0,
1220,0.588156,0,
1221,0.587337,0,
1222,0.587419,0,
1223,0.587713,0,
1224,0.588031,0,
1225,0.587752,0,
1226,0.588066,0,
1227,0.589445,0,
1228,0.590155,0,
1229,0.590688,0,
1230,0.591075,0,
1231,0.590938,0,
1232,0.589849,0,
1233,0.589923,0,
1234,0.589641,0,
1235,0.589661,0,
1236,0.589567,0,
1237,0.590135,0,
1238,0.590064,0,
1239,0.59093,0,
1240,0.591397,0,
1241,0.591832,0,
1242,0.592874,0,
1243,0.592612,0,
1244,0.593156,0,
1245,0.593881,0,
1246,0.593368,0,
1247,0.593873,0,
1248,0.59405,0,
1249,0.593877,0,
1250,0.593239,0,
1251,0.593305,0,
1252,0.592204,0,
1253,0.592243,0,
1254,0.593705,0,
1255,0.593948,0,
1256,0.592741,0,
1257,0.594371,0,
1258,0.594587,0,
1259,0.593576,0,
1260,0.591585,0,
1261,0.592455,0,
1262,0.593341,0,
1263,0.593846,0,
1264,0.593105,0,
1265,0.592333,0,
1266,0.592369,0,
1267,0.592137,0,
1268,0.592882,0,
1269,0.593078,0,
1270,0.593062,0,
1271,0.591985,0,
1272,0.589931,0,
1273,0.590014,0,
1274,0.587576,0,
1275,0.588195,0,
1276,0.587968,0,
1277,0.588399,0,
1278,0.586373,0,
1279,0.586432,0,
1280,0.585005,0,
1281,0.583022,0,
1282,0.583943,0,
1283,0.584433,0,
1284,0.583089,0,
1285,0.583888,0,
1286,0.582709,0,
1287,0.581941,0,
1288,0.580926,0,
1289,0.580385,0,
1290,0.580487,0,
1291,0.580754,0,
1292,0.579805,0,
1293,0.580444,0,
1294,0.580808,0,
1295,0.580601,0,
1296,0.580879,0,
1297,0.580256,0,
1298,0.579621,0,
1299,0.58006,0,
1300,0.580275,0,
1301,0.580652,0,
1302,0.580612,0,
1303,0.580714,0,
1304,0.580413,0,
1305,0.579923,0,
1306,0.579511,0,
1307,0.579586,0,
1308,0.58062,0,
1309,0.581047,0,
1310,0.578163,0,
1311,0.578453,0,
1312,0.577603,0,
1313,0.577677,0,
1314,0.575812,0,
1315,0.574805,0,
1316,0.574699,0,
1317,0.574574,0,
1318,0.574405,0,
1319,0.574726,0,
1320,0.574382,0,
1321,0.574241,0,
1322,0.57415,0,
1323,0.573378,0,
1324,0.573508,0,
1325,0.574338,0,
1326,0.574766,0,
1327,0.574233,0,
1328,0.574515,0,
1329,0.57435,0,
1330,0.574119,0,
1331,0.573904,0,
1332,0.575228,0,
1333,0.57477,0,
1334,0.573755,0,
1335,0.573919,0,
1336,0.573892,0,
1337,0.573547,0,
1338,0.572771,0,
1339,0.572693,0,
1340,0.572822,0,
1341,0.572892,0,
1342,0.573539,0,
1343,0.573617,0,
1344,0.573833,0,
1345,0.574107,0,
1346,0.574519,0,
1347,0.575013,0,
1348,0.574919,0,
1349,0.575338,0,
1350,0.575581,0,
1351,0.575867,0,
1352,0.576051,0,
1353,0.5764,0,
1354,0.576654,0,
1355,0.577262,0,
1356,0.577963,0,
1357,0.578093,0,
1358,0.578465,0,
1359,0.579096,0,
1360,0.57888,0,
1361,0.579566,0,
1362,0.580123,0,
1363,0.57968,0,
1364,0.579656,0,
1365,0.580287,0,
1366,0.580554,0,
1367,0.581153,0,
1368,0.582004,0,
1369,0.582243,0,
1370,0.583042,0,
1371,0.583418,0,
1372,0.58399,0,
1373,0.583994,0,
1374,0.584222,0,
1375,0.584218,0,
1376,0.584492,0,
1377,0.584578,0,
1378,0.584762,0,
1379,0.585099,0,
1380,0.584766,0,
1381,0.584731,0,
1382,0.584762,0,
1383,0.584578,0,
1384,0.584531,0,
1385,0.586071,0,
1386,0.585715,0,
1387,0.585938,0,
1388,0.586671,0,
1389,0.587627,0,
1390,0.5876,0,
1391,0.58711,0,
1392,0.587294,0,
1393,0.587121,0,
1394,0.586761,0,
1395,0.587733,0,
1396,0.587247,0,
1397,0.587071,0,
1398,0.586522,0,
1399,0.586875,0,
1400,0.586843,0,
1401,0.586894,0,
1402,0.587098,0,
1403,0.587255,0,
1404,0.586534,0,
1405,0.586432,0,
1406,0.585997,0,
1407,0.586177,0,
1408,0.586589,0,
1409,0.586773,0,
1410,0.583465,0,
1411,0.583289,0,
1412,0.583473,0,
1413,0.583179,0,
1414,0.583501,0,
1415,0.58448,0,
1416,0.5866,0,
1417,0.586541,0,
1418,0.586561,0,
1419,0.587568,0,
1420,0.587654,0,
1421,0.588454,0,
1422,0.5891,0,
1423,0.589692,0,
1424,0.592177,0,
1425,0.593485,0,
1426,0.593231,0,
1427,0.597455,0,
1428,0.599501,0,
1429,0.600194,0,
1430,0.604595,0,
1431,0.60581,0,
1432,0.60764,0,
1433,0.609948,0,
1434,0.612464,0,
1435,0.619267,0,
1436,0.621309,0,
1437,0.623284,0,
1438,0.623433,0,
1439,0.625909,0,
1440,0.628382,0,
1441,0.62828,0,
1442,0.631266,0,
1443,0.633194,0,
1444,0.633127,0,
1445,0.635655,0,
1446,0.638645,0,
1447,0.63964,0,
1448,0.641361,0,
1449,0.643187,0,
1450,0.643618,0,
1451,0.645848,0,
1452,0.648117,0,
1453,0.650946,0,
1454,0.653332,0,
1455,0.655805,0,
1456,0.657012,0,
1457,0.660288,0,
1458,0.663431,0,
1459,0.665853,0,
1460,0.665457,0,
1461,0.669105,0,
1462,0.670375,0,
1463,0.672558,0,
1464,0.674995,0,
1465,0.67641,0,
1466,0.679086,0,
1467,0.68257,0,
1468,0.684765,0,
1469,0.685599,0,
1470,0.689502,0,
1471,0.69339,0,
1472,0.695929,0,
1473,0.700687,0,
1474,0.700244,0,
1475,0.704496,0,
1476,0.709139,0,
1477,0.712427,0,
1478,0.713089,0,
1479,0.718564,0,
1480,0.718027,0,
1481,0.718956,0,
1482,0.721495,0,
1483,0.723693,0,
1484,0.726586,0,
1485,0.725861,0,
1486,0.726731,0,
1487,0.729282,0,
1488,0.729587,0,
1489,0.729568,0,
1490,0.732276,0,
1491,0.732808,0,
1492,0.730618,0,
1493,0.73255,0,
1494,0.733228,0,
1495,0.735148,0,
1496,0.736708,0,
1497,0.743315,0,
1498,0.744721,0,
1499,0.75114,0,
1500,0.754244,0,
1501,0.754252,0,
1502,0.753805,0,
1503,0.747331,0,
1504,0.744827,0,
1505,0.737123,0,
1506,0.734168,0,
1507,0.732095,0,
1508,0.738032,0,
1509,0.736124,0,
1510,0.740583,0,
1511,0.741532,0,
1512,0.743464,0,
1513,0.744094,0,
1514,0.742899,0,
1515,0.722549,0,
1516,0.722988,0,
1517,0.717486,0,
1518,0.716142,0,
1519,0.713908,0,
1520,0.709911,0,
1521,0.678687,0,
1522,0.678044,0,
1523,0.670834,0,
1524,0.667812,0,
1525,0.665775,0,
1526,0.660453,0,
1527,0.661048,0,
1528,0.657663,0,
1529,0.653101,0,
1530,0.651663,0,
1531,0.650076,0,
1532,0.653274,0,
1533,0.650186,0,
1534,0.653348,0,
1535,0.647956,0,
1536,0.646737,0,
1537,0.645667,0,
1538,0.643406,0,
1539,0.64042,0,
1540,0.638492,0,
1541,0.63511,0,
1542,0.633707,0,
1543,0.63484,0,
1544,0.632308,0,
1545,0.635263,0,
1546,0.636482,0,
1547,0.638629,0,
1548,0.636905,0,
1549,0.611437,0,
1550,0.604446,0,
1551,0.601789,0,
1552,0.600006,0,
1553,0.597541,0,
1554,0.595139,0,
1555,0.594822,0,
1556,0.591683,0,
1557,0.593043,0,
1558,0.591644,0,
1559,0.590613,0,
1560,0.583026,0,
1561,0.586083,0,
1562,0.587027,0,
1563,0.584292,0,
1564,0.583042,0,
1565,0.581988,0,
1566,0.581651,0,
1567,0.580518,0,
1568,0.578101,0,
1569,0.579931,0,
1570,0.577858,0,
1571,0.576349,0,
1572,0.576071,0,
1573,0.580522,0,
1574,0.585103,0,
1575,0.583497,0,
1576,0.584809,0,
1577,0.587866,0,
1578,0.593999,0,
1579,0.597306,0,
1580,0.596013,0,
1581,0.597396,0,
1582,0.599697,0,
1583,0.601621,0,
1584,0.600786,0,
1585,0.598917,0,
1586,0.598149,0,
1587,0.597005,0,
1588,0.59818,0,
1589,0.601037,0,
1590,0.602808,0,
1591,0.603862,0,
1592,0.6059,0,
1593,0.603596,0,
1594,0.605657,0,
1595,0.606731,0,
1596,0.606555,0,
1597,0.604454,0,
1598,0.604274,0,
1599,0.602248,0,
1600,0.603905,0,
1601,0.605363,0,
1602,0.606962,0,
1603,0.607366,0,
1604,0.61215,0,
1605,0.614482,0,
1606,0.617131,0,
1607,0.620352,0,
1608,0.621199,0,
1609,0.623099,0,
1610,0.623456,0,
1611,0.627375,0,
1612,0.627524,0,
1613,0.622496,0,
1614,0.613479,0,
1615,0.611986,0,
1616,0.609693,0,
1617,0.602757,0,
1618,0.6007,0,
1619,0.594442,0,
1620,0.587349,0,
1621,0.586988,0,
1622,0.583634,0,
1623,0.582054,0,
1624,0.580703,0,
1625,0.578187,0,
1626,0.577082,0,
1627,0.578077,0,
1628,0.57649,0,
1629,0.576423,0,
1630,0.57955,0,
1631,0.584018,0,
1632,0.587074,0,
1633,0.586475,0,
1634,0.586585,0,
1635,0.580142,0,
1636,0.580389,0,
1637,0.584308,0,
1638,0.588089,0,
1639,0.588383,0,
1640,0.582964,0,
1641,0.582117,0,
1642,0.580432,0,
1643,0.579844,0,
1644,0.580844,0,
1645,0.578101,0,
1646,0.573872,0,
1647,0.566818,0,
1648,0.56455,0,
1649,0.564052,0,
1650,0.560599,0,
1651,0.557515,0,
1652,0.555846,0,
1653,0.553201,0,
1654,0.554486,0,
1655,0.553142,0,
1656,0.551959,0,
1657,0.553832,0,
1658,0.557958,0,
1659,0.56346,0,
1660,0.556669,0,
1661,0.562092,0,
1662,0.565564,0,
1663,0.562625,0,
1664,0.56663,0,
1665,0.567806,0,
1666,0.566909,0,
1667,0.566141,0,
1668,0.563201,0,
1669,0.564017,0,
1670,0.567199,0,
1671,0.563817,0,
1672,0.56522,0,
1673,0.56116,0,
1674,0.552217,0,
1675,0.551014,0,
1676,0.547413,0,
1677,0.544145,0,
1678,0.544223,0,
1679,0.54668,0,
1680,0.546994,0,
1681,0.545336,0,
1682,0.543745,0,
1683,0.543161,0,
1684,0.542436,0,
1685,0.534136,0,
1686,0.536452,0,
1687,0.536433,0,
1688,0.539074,0,
1689,0.54213,0,
1690,0.546018,0,
1691,0.55293,0,
1692,0.562888,0,
1693,0.566963,0,
1694,0.574248,0,
1695,0.581114,0,
1696,0.58644,0,
1697,0.594602,0,
1698,0.603396,0,
1699,0.606304,0,
1700,0.610791,0,
1701,0.611782,0,
1702,0.609094,0,
1703,0.612879,0,
1704,0.612205,0,
1705,0.611833,0,
1706,0.613863,0,
1707,0.610465,0,
1708,0.609995,0,
1709,0.604109,0,
1710,0.598784,0,
1711,0.598827,0,
1712,0.590104,0,
1713,0.584555,0,
1714,0.583019,0,
1715,0.577301,0,
1716,0.577642,0,
1717,0.575295,0,
1718,0.571039,0,
1719,0.565874,0,
1720,0.568978,0,
1721,0.562484,0,
1722,0.559965,0,
1723,0.557602,0,
1724,0.556583,0,
1725,0.552989,0,
1726,0.554941,0,
1727,0.54873,0,
1728,0.544023,0,
1729,0.54396,0,
1730,0.51796,0,
1731,0.499126,0,
1732,0.496461,0,
1733,0.481151,0,
1734,0.480069,0,
1735,0.462031,0,
1736,0.46046,0,
1737,0.445874,0,
1738,0.443178,0,
1739,0.434874,0,
1740,0.415641,0,
1741,0.410774,0,
1742,0.406409,0,
1743,0.389158,0,
1744,0.384993,0,
1745,0.380467,0,
1746,0.374976,0,
1747,0.362143,0,
1748,0.35753,0,
1749,0.351817,0,
1750,0.349144,0,
1751,0.346456,0,
1752,0.341977,0,
1753,0.339132,0,
1754,0.336788,0,
1755,0.33488,0,
1756,0.331768,0,
1757,0.329315,0,
1758,0.329025,0,
1759,0.328324,0,
1760,0.324742,0,
1761,0.323512,0,
1762,0.322924,0,
1763,0.320545,0,
1764,0.316975,0,
1765,0.315678,0,
1766,0.321109,0,
1767,0.323935,0,
1768,0.325346,0,
1769,0.327227,0,
1770,0.327231,0,
1771,0.335256,0,
1772,0.338325,0,
1773,0.337349,0,
1774,0.336494,0,
1775,0.341753,0,
1776,0.340954,0,
1777,0.341279,0,
1778,0.339535,0,
1779,0.335707,0,
1780,0.33566,0,
1781,0.335291,0,
1782,0.331435,0,
1783,0.330244,0,
1784,0.324484,0,
1785,0.323296,0,
1786,0.321008,0,
1787,0.314953,0,
1788,0.310509,0,
1789,0.307578,0,
1790,0.299858,0,
1791,0.294815,0,
1792,0.292495,0,
1793,0.287252,0,
1794,0.281914,0,
1795,0.279739,0,
1796,0.274606,0,
1797,0.271992,0,
1798,0.272329,0,
1799,0.269253,0,
1800,0.270107,0,
1801,0.268175,0,
1802,0.264633,0,
1803,0.264217,0,
1804,0.265091,0,
1805,0.267164,0,
1806,0.268336,0,
1807,0.268688,0,
1808,0.26863,0,
1809,0.268301,0,
1810,0.267493,0,
1811,0.268355,0,
1812,0.270099,0,
1813,0.269053,0,
1814,0.266784,0,
1815,0.261051,0,
1816,0.261114,0,
1817,0.254499,0,
1818,0.256211,0,
1819,0.255286,0,
1820,0.25654,0,
1821,0.254652,0,
1822,0.255604,0,
1823,0.252896,0,
1824,0.255392,0,
1825,0.255341,0,
1826,0.252202,0,
1827,0.252865,0,
1828,0.2552,0,
1829,0.254479,0,
1830,0.255866,0,
1831,0.253856,0,
1832,0.25426,0,
1833,0.250839,0,
1834,0.250004,0,
1835,0.247143,0,
1836,0.243334,0,
1837,0.242296,0,
1838,0.239176,0,
1839,0.235195,0,
1840,0.233396,0,
1841,0.229462,0,
1842,0.225359,0,
1843,0.22184,0,
1844,0.216303,0,
1845,0.209241,0,
1846,0.204629,0,
1847,0.198261,0,
1848,0.189546,0,
1849,0.188205,0,
1850,0.180975,0,
1851,0.174137,0,
1852,0.173361,0,
1853,0.171135,0,
1854,0.168972,0,
1855,0.169975,0,
1856,0.173291,0,
1857,0.17766,0,
1858,0.178847,0,
1859,0.176712,0,
1860,0.173812,0,
1861,0.173075,0,
1862,0.170246,0,
1863,0.166876,0,
1864,0.164924,0,
1865,0.161875,0,
1866,0.160049,0,
1867,0.161327,0,
1868,0.163611,0,
1869,0.166162,0,
1870,0.16639,0,
1871,0.165116,0,
1872,0.164803,0,
1873,0.164278,0,
1874,0.163239,0,
1875,0.169141,0,
1876,0.17072,0,
1877,0.176347,0,
1878,0.181579,0,
1879,0.184091,0,
1880,0.18989,0,
1881,0.196251,0,
1882,0.200185,0,
1883,0.205436,0,
1884,0.20999,0,
1885,0.21017,0,
1886,0.21238,0,
1887,0.221009,0,
1888,0.224371,0,
1889,0.232354,0,
1890,0.237934,0,
1891,0.240764,0,
1892,0.245525,0,
1893,0.251669,0,
1894,0.255384,0,
1895,0.257348,0,
1896,0.262481,0,
1897,0.268426,0,
1898,0.269276,0,
1899,0.271663,0,
1900,0.275926,0,
1901,0.287318,0,
1902,0.299294,0,
1903,0.30362,0,
1904,0.309824,0,
1905,0.317865,0,
1906,0.317939,0,
1907,0.319358,0,
1908,0.316274,0,
1909,0.315012,0,
1910,0.310137,0,
1911,0.309867,0,
1912,0.309604,0,
1913,0.308299,0,
1914,0.306477,0,
1915,0.303879,0,
1916,0.298957,0,
1917,0.294082,0,
1918,0.29525,0,
1919,0.290394,0,
1920,0.288803,0,
1921,0.285441,0,
1922,0.280648,0,
1923,0.275366,0,
1924,0.266839,0,
1925,0.260741,0,
1926,0.258171,0,
1927,0.254052,0,
1928,0.250745,0,
1929,0.248276,0,
1930,0.246164,0,
1931,0.243875,0,
1932,0.235559,0,
1933,0.233486,0,
1934,0.230645,0,
1935,0.219058,0,
1936,0.21983,0,
1937,0.218501,0,
1938,0.214575,0,
1939,0.212819,0,
1940,0.208457,0,
1941,0.202724,0,
1942,0.20466,0,
1943,0.201525,0,
1944,0.197818,0,
1945,0.195424,0,
1946,0.184882,0,
1947,0.173894,0,
1948,0.169376,0,
1949,0.160543,0,
1950,0.15461,0,
1951,0.150785,0,
1952,0.142913,0,
1953,0.131043,0,
1954,0.126873,0,
1955,0.11525,0,
1956,0.107977,0,
1957,0.107436,0,
1958,0.104133,0,
1959,0.100096,0,
1960,0.0975375,0,
1961,0.090856,0,
1962,0.0844097,0,
1963,0.0807535,0,
1964,0.0765291,0,
1965,0.0705687,0,
1966,0.0698516,0,
1967,0.0650589,0,
1968,0.060858,0,
1969,0.0586792,0,
1970,0.0558656,0,
1971,0.0487805,0,
1972,0.0462333,0,
1973,0.0422597,0,
1974,0.0390463,0,
1975,0.0368127,0,
1976,0.031299,0,
1977,0.0263457,0,
1978,0.0233557,0,
1979,0.017697,0,
1980,0.0112233,0,
1981,0.00878582,0,
1982,0.00434197,0,
1983,0.00318986,0,
1984,0.0029273,0,
1985,0.00276271,0,
1986,0.00282541,0,
1987,0.00269218,0,
1988,0.00242962,0,
1989,0.00246881,0,
1990,0.00282933,0,
1991,0.00322904,0,
1992,0.00385996,0,
1993,0.00454966,0,
1994,0.00469073,0,
1995,0.00407941,0,
1996,0.00398536,0,
1997,0.00379334,0,
1998,0.00427143,0,
1999,0.00444777,0,
2000,0.00723791,0,
2001,0.0161648,0,
2002,0.0214708,0,
2003,0.0327176,0,
2004,0.0451557,0,
2005,0.0515981,0,
2006,0.0621591,0,
2007,0.072916,0,
2008,0.0785943,0,
2009,0.089845,0,
2010,0.100574,0,
2011,0.10619,0,
2012,0.117946,0,
2013,0.130925,0,
2014,0.138304,0,
2015,0.151553,0,
2016,0.162224,0,
2017,0.168572,0,
2018,0.180846,0,
2019,0.182684,0,
2020,0.18569,0,
2021,0.186575,0,
2022,0.189702,0,
2023,0.197191,0,
2024,0.211432,0,
2025,0.2228,0,
2026,0.226413,0,
2027,0.235003,0,
2028,0.245129,0,
2029,0.249557,0,
2030,0.255192,0,
2031,0.254891,0,
2032,0.249686,0,
2033,0.23987,0,
2034,0.235673,0,
2035,0.232021,0,
2036,0.230861,0,
2037,0.225994,0,
2038,0.226836,0,
2039,0.227318,0,
2040,0.230732,0,
2041,0.227177,0,
2042,0.222843,0,
2043,0.213344,0,
2044,0.208187,0,
2045,0.195647,0,
2046,0.189357,0,
2047,0.186277,0,
2048,0.180391,0,
2049,0.17128,0,
2050,0.168424,0,
2051,0.16079,0,
2052,0.155155,0,
2053,0.15077,0,
2054,0.141549,0,
2055,0.132877,0,
2056,0.1302,0,
2057,0.120435,0,
2058,0.107181,0,
2059,0.101397,0,
2060,0.0925959,0,
2061,0.0833869,0,
2062,0.0808828,0,
2063,0.0732805,0,
2064,0.0661327,0,
2065,0.0635894,0,
2066,0.0625118,0,
2067,0.0598549,0,
2068,0.0593297,0,
2069,0.0544391,0,
2070,0.0508143,0,
2071,0.0501325,0,
2072,0.0477655,0,
2073,0.0443719,0,
2074,0.0433099,0,
2075,0.041041,0,
2076,0.0386741,0,
2077,0.0375611,0,
2078,0.0340891,0,
2079,0.0316987,0,
2080,0.0310482,0,
2081,0.0277055,0,
2082,0.024065,0,
2083,0.022329,0,
2084,0.0174462,0,
2085,0.0129671,0,
2086,0.0106511,0,
2087,0.00749655,0,
2088,0.00622296,0,
2089,0.00606229,0,
2090,0.00586636,0,
2091,0.0062112,0,
2092,0.00649335,0,
2093,0.00662659,0,
2094,0.00690482,0,
2095,0.007089,0,
2096,0.00781397,0,
2097,0.00752006,0,
2098,0.00770816,0,
2099,0.00904445,0,
2100,0.0121755,0,
2101,0.0138136,0,
2102,0.0180301,0,
2103,0.0225171,0,
2104,0.0251622,0,
2105,0.0308209,0,
2106,0.0367343,0,
2107,0.039446,0,
2108,0.0481143,0,
2109,0.0570216,0,
2110,0.0606974,0,
2111,0.0715366,0,
2112,0.0806359,0,
2113,0.085405,0,
2114,0.0973846,0,
2115,0.105939,0,
2116,0.112652,0,
2117,0.123288,0,
2118,0.135048,0,
2119,0.141126,0,
2120,0.152537,0,
2121,0.164912,0,
2122,0.173271,0,
2123,0.186066,0,
2124,0.197073,0,
2125,0.202528,0,
2126,0.216534,0,
2127,0.232593,0,
2128,0.236469,0,
2129,0.244412,0,
2130,0.250737,0,
2131,0.25404,0,
2132,0.259135,0,
2133,0.26401,0,
2134,0.265044,0,
2135,0.264468,0,
2136,0.27064,0,
2137,0.270413,0,
2138,0.271533,0,
2139,0.272423,0,
2140,0.271663,0,
2141,0.270573,0,
2142,0.269363,0,
2143,0.268406,0,
2144,0.266666,0,
2145,0.264229,0,
2146,0.264233,0,
2147,0.262587,0,
2148,0.261247,0,
2149,0.260349,0,
2150,0.25761,0,
2151,0.249205,0,
2152,0.247625,0,
2153,0.243138,0,
2154,0.247449,0,
2155,0.251203,0,
2156,0.255051,0,
2157,0.258245,0,
2158,0.261086,0,
2159,0.262364,0,
2160,0.263042,0,
2161,0.26457,0,
2162,0.265122,0,
2163,0.264852,0,
2164,0.263187,0,
2165,0.261846,0,
2166,0.260714,0,
2167,0.259914,0,
2168,0.258124,0,
2169,0.256862,0,
2170,0.255659,0,
2171,0.249628,0,
2172,0.24355,0,
2173,0.24143,0,
2174,0.233792,0,
2175,0.221734,0,
2176,0.214916,0,
2177,0.201384,0,
2178,0.187433,0,
2179,0.18103,0,
2180,0.171394,0,
2181,0.162056,0,
2182,0.159242,0,
2183,0.153744,0,
2184,0.147157,0,
2185,0.14187,0,
2186,0.135052,0,
2187,0.126857,0,
2188,0.12402,0,
2189,0.113804,0,
2190,0.104344,0,
2191,0.0994772,0,
2192,0.0891984,0,
2193,0.0804792,0,
2194,0.0758511,0,
2195,0.0674729,0,
2196,0.0606151,0,
2197,0.0572724,0,
2198,0.0489647,0,
2199,0.0436822,0,
2200,0.0418443,0,
2201,0.0375729,0,
2202,0.0324354,0,
2203,0.0308327,0,
2204,0.0273606,0,
2205,0.0233831,0,
2206,0.0215844,0,
2207,0.0180732,0,
2208,0.0176853,0,
2209,0.0180105,0,
2210,0.0184298,0,
2211,0.0173404,0,
2212,0.0162197,0,
2213,0.014323,0,
2214,0.011815,0,
2215,0.0109019,0,
2216,0.010224,0,
2217,0.00936187,0,
2218,0.00925607,0,
2219,0.00962835,0,
2220,0.00813531,0,
2221,0.00762979,0,
2222,0.0062739,0,
2223,0.0062112,0,
2224,0.00751223,0,
2225,0.00675591,0,
2226,0.00642674,0,
2227,0.00656781,0,
2228,0.00687739,0,
2229,0.00679902,0,
2230,0.00656389,0,
2231,0.00665402,0,
2232,0.00690482,0,
2233,0.007089,0,
2234,0.0071517,0,
2235,0.00625039,0,
2236,0.0065247,0,
2237,0.00657565,0,
2238,0.00675591,0,
2239,0.0071086,0,
2240,0.00705765,0,
2241,0.00638363,0,
2242,0.00678334,0,
2243,0.00633269,0,
2244,0.00691266,0,
2245,0.00708116,0,
2246,0.0073594,0,
2247,0.00675983,0,
2248,0.00653646,0,
2249,0.00752006,0,
2250,0.00728886,0,
2251,0.00753574,0,
2252,0.00806085,0,
2253,0.00816274,0,
2254,0.00820584,0,
2255,0.00875055,0,
2256,0.0085311,0,
2257,0.00892297,0,
2258,0.00922472,0,
2259,0.00938538,0,
2260,0.00895432,0,
2261,0.00920904,0,
2262,0.00994185,0,
2263,0.0096597,0,
2264,0.00985563,0,
2265,0.0109059,0,
2266,0.0126301,0,
2267,0.0179557,0,
2268,0.0255933,0,
2269,0.0291711,0,
2270,0.0368244,0,
2271,0.0433609,0,
2272,0.0462803,0,
2273,0.051457,0,
2274,0.057437,0,
2275,0.0594747,0,
2276,0.0623824,0,
2277,0.0646475,0,
2278,0.0657604,0,
2279,0.0675865,0,
2280,0.0698829,0,
2281,0.0709253,0,
2282,0.0723831,0,
2283,0.0727318,0,
2284,0.0735587,0,
2285,0.0749655,0,
2286,0.0761999,0,
2287,0.0768583,0,
2288,0.0780104,0,
2289,0.0782964,0,
2290,0.0783356,0,
2291,0.0786648,0,
2292,0.0791821,0,
2293,0.0784885,0,
2294,0.0769602,0,
2295,0.0772306,0,
2296,0.0769876,0,
2297,0.0785629,0,
2298,0.0833124,0,
2299,0.0861927,0,
2300,0.0901271,0,
2301,0.0913302,0,
2302,0.0914634,0,
2303,0.0925058,0,
2304,0.0932151,0,
2305,0.0935795,0,
2306,0.0942575,0,
2307,0.0937167,0,
2308,0.0936893,0,
2309,0.0946219,0,
2310,0.0961385,0,
2311,0.0960483,0,
2312,0.0914713,0,
2313,0.0877171,0,
2314,0.0871685,0,
2315,0.0815216,0,
2316,0.0745423,0,
